,0
683,provide career counselling
684,assist students in their learning
685,perform food safety checks
686,contamination exposure regulations
687,warm marine glue
688,store goods
689,vacuum surfaces
690,manufacture carpets
691,assess sportive performance
692,label samples
693,work in partnership with social services users
694,preparation for child delivery
695,deburring machine parts
696,analytical chemistry
697,develop financial products
698,handle petty cash
699,communicate analytical insights
700,adjust sporting equipment
701,run laboratory simulations
702,follow company standards
703,identify financial resources
704,develop corporate training programmes
705,interpret technical requirements
706,contextualise artistic work
707,analyse legal evidence
708,prepared meals
709,handle chemical cleaning agents
710,manage bank vault
711,consult credit score
712,guarantee students' safety
713,deliver visual presentation of data
714,primary care
715,communicate verbal instructions
716,apply quality standards in social services
717,maintain the cleanliness of the toilet facilities
718,use rope access techniques
719,sales promotion techniques
720,attend gaming tests
721,manage staff
722,supervise worker safety
723,dip tank parts
724,supervise waste water treatments
725,health care legislation
726,environmental threats
727,drinks service operations
728,cultural customs on food preparation
729,develop program ideas
730,empathise with the healthcare user
731,perform child welfare investigations
732,assess cereal quality for brewing
733,analyse enforceability
734,order construction supplies
735,establish site security routines
736,utilise economies of scale in projects
737,assist emergency services
738,ensure compliance with environmental legislation in food production
739,subtitler
740,shape organisational teams based on competencies
741,process customer orders
742,regulate traffic
743,tend CNC grinding machine
744,consumer law
745,tumbling machine parts
746,convert currency
747,sport and exercise medicine
748,analyse personal fitness information
749,follow health and safety precautions in social care practices
750,perform tree thinning
751,remove excess glue
752,differentiate types of packages
753,evaluate social work program's impact
754,prevent fraudulent activities
755,maintain recycling records
756,procurement of ICT network equipment
757,prepare exercise session
758,operate handheld riveting equipment
759,liaise with industry experts
760,microoptics
761,apply arc welding techniques
762,execute flight plans
763,rainwater management
764,public housing legislation
765,advise on legislative acts
766,handle gas cylinders
767,statistical process control
768,salon management
769,assist passengers with timetable information
770,allocate bills
771,dye wood
772,follow an environmental friendly policy while processing food
773,types of cylindrical grinding processes
774,ecology
775,report test findings
776,assess risks and implications of a design
777,practice innovative thinking in the footwear and leather goods industries
778,remove snow
779,ensure tableware is ready for use
780,trace financial transactions
781,apply procurement
782,discharge of collected waste
783,execute vehicle maintenance
784,performance production manager
785,aquaculture reproduction
786,lipspeaking
787,lead disaster recovery exercises
788,transcription methods
789,secure working area
790,use technical documentation
791,operate precision measuring equipment
792,forecast organisational risks
793,hotel operations
794,hydroelectricity
795,manage chemical processes inspection
796,ensure sanitation
797,produce textile designs
798,analyse data about clients
799,business ICT systems
800,care for food aesthetic
801,manage timber stocks
802,use testing equipment
803,fishing vessels
804,provide first aid
805,take payments for bills
806,liaise with union officials
807,refer social service users
808,screen printing process
809,provide documentation
810,operation of different engines
811,control tree diseases
812,clean industrial containers
813,assess danger in risk areas
814,metal coating technologies
815,clip sheet metal objects together
816,clean moulds
817,"health, safety and hygiene legislation"
818,monitor machine operations
819,perform cosmetic procedures
820,organise sporting environment
821,employ assessment techniques to anticipate translation efforts
822,analyse energy market trends
823,stop speeding vehicles
824,liaise with shareholders
825,animate 3D organic forms
826,promote gender equality in business contexts
827,ensure health and safety of customers
828,plaster surfaces
829,ensure cleanliness of food preparation area
830,manage footwear quality systems
831,adhere to questionnaires
832,liaise with rail experts
833,develop a specific interior design
834,maintain electronic equipment
835,follow organisational guidelines in the cleaning industry
836,interpret traffic light signals used in tramway infrastructure
837,sport history
838,lop trees
839,Process-based management
840,apply water transfer printing techniques
841,pharmacology
842,investigate complaints related to consumer protection
843,contribute to the safeguarding of children
844,manufacturing of metal household articles
845,botany
846,create new concepts
847,disaggregate the production plan
848,colours of roasted malt
849,foreign valuta
850,provide livestock advice and guidance
851,use meteorological information
852,advise customers on seafood choices
853,manage electricity transmission system
854,apply electrolytes to cathodes and anodes
855,printing plate making
856,interpret languages in live broadcasting shows
857,assist tree identification
858,operational tactics for emergency responses
859,electrical wiring plans
860,manufacturing of confectionery
861,circuit diagrams
862,support the positiveness of youths
863,keep records on sales
864,manage facilities services
865,financial products
866,personal trainer
867,contract law
868,apply preliminary treatment to workpieces
869,manufacturing of metal containers
870,metal forming technologies
871,prepare government funding dossiers
872,binding technologies
873,nonwoven machine technology
874,pick orders of agricultural products
875,basic chemicals
876,newborn care
877,supervise pool activities
878,render 3D images
879,pre-flight procedures for IFR flights
880,work in a multicultural environment in health care
881,buffing motions
882,estimate damage
883,operate optical assembly equipment
884,consultation methods
885,follow clinical guidelines
886,work in a rail transport team
887,apply grammar and spelling rules
888,extrusion processes
889,evaluate cultural venue visitor needs
890,chuchotage interpreting
891,perform quality audits
892,prepare site for construction
893,determine crane load
894,conduct workplace audits
895,hazardous waste storage
896,apply basic rules of maintenance to leather goods and footwear machinery
897,operate railway vehicles
898,fell trees
899,conduct examination processes for apprentices
900,manage production systems
901,conduct interview in social service
902,ensure information security
903,coordinate technological activities
904,plan resource allocation
905,tend confectionery manufacturing equipment
906,report anomalies in aircraft interiors
907,monitor production developments
908,deliver correspondence
909,comply with air traffic control operations
910,micromechanics
911,give swimming lessons
912,optical components
913,coordinate greenhouse environment
914,repair heating equipment
915,musculoskeletal anatomy
916,assess cleanliness of areas
917,manage corrective actions
918,principles of insurance
919,work in a logistics team
920,respond to burglar alarm systems
921,keep up-to-date with regulations
922,register visitors
923,prepare egg products for use in a dish
924,supervise sales activities
925,types of bleach
926,obstetric ultrasonography
927,teach languages
928,handle evidence
929,deal with air traffic issues
930,be friendly to passengers
931,manufacturing of daily use goods
932,horticulture principles
933,office administration
934,assess contamination
935,support service users to use technological aids
936,manage feedback
937,select restoration activities
938,refer service users to community resources
939,geostationary satellites
940,analyse test data
941,power electronics
942,perform lectures
943,communicate in an outdoor setting
944,tend coating machine
945,liaise with government officials
946,embryology
947,check quality of products in textile production line
948,help to control passenger behaviour during emergency situations
949,handling chemical products for soil and plants
950,cosmetic manicure
951,adapt fitness exercises
952,food safety standards
953,medical terminology
954,hire background musicians
955,design principles
956,maintain relations with local representatives
957,apply risk management in sports
958,manage distribution of destination promotional materials
959,integrate system components
960,manage time in casting processes
961,focus on passengers
962,social media marketing techniques
963,support children's wellbeing
964,monitor manufacturing quality standards
965,types of paper
966,maintain transaction's reports
967,mill operations
968,turf management
969,characteristics of precious metals
970,manage outdoor resources
971,supervise hygiene procedures in agricultural settings
972,prepare meat products for use in a dish
973,place gypsum blocks
974,electronics and automation vocational teacher
975,maintain personal hygiene standards when cleaning
976,use remote control equipment
977,encourage counselled clients to examine themselves
978,fermentation processes of food
979,physiology of animals
980,apply system organisational policies
981,promote service users' rights
982,plants contribution to indoor climate and health conditions
983,rig loads
984,use fishing vessel equipment
985,manage administrative systems
986,types of carpet
987,forecast future ICT network needs
988,use geographic memory
989,use person-centred planning
990,apply technical communication skills
991,plan food plant production activities
992,manage work
993,write inspection reports
994,aquatic ecology
995,anthropology
996,prepare the enamel
997,water reuse
998,security threats
999,child welfare worker
1000,fabricate metal parts
1001,set up temporary construction site infrastructure
1002,analyse customer service surveys
1003,monitor merchandise delivery
1004,supervise crew
1005,signal processing
1006,cook meat dishes
1007,lottery equipment
1008,maintain wigs
1009,support fishery training procedures
1010,instruct in sport
1011,footwear components
1012,follow trends in sporting equipment
1013,write job descriptions
1014,supervise advocacy work
1015,provide tourism related information
1016,interact with users to gather requirements
1017,integrate headquarter's guidelines into local operations
1018,teach communication to clients
1019,use IT systems for commercial purposes
1020,optical engineering
1021,keep time accurately
1022,manage the customer experience
1023,types of spa
1024,develop occupational classification systems
1025,present evidence
1026,aviation meteorology
1027,types of wind turbines
1028,advise on risk management
1029,physical education vocational teacher
1030,operate an audio mixing console
1031,anatomy of animals
1032,observe confidentiality
1033,lead hiking trips
1034,adhere to organisational guidelines
1035,reduce environmental impact of footwear manufacturing
1036,geographic information systems
1037,nurse trees
1038,adapt communication style according to recipient
1039,manage funeral equipment
1040,calculate benefits
1041,give constructive feedback
1042,watch food product trends
1043,supervise forestry workers
1044,apply holistic approach within social services
1045,coordinate humanitarian aid missions
1046,instruct on safety measures
1047,analyse text before translation
1048,flexography
1049,automatic meter reading
1050,handle veterinary emergencies
1051,air traffic instructor
1052,order supplies
1053,profile people
1054,consult with producer
1055,animal species
1056,maintain vehicle service
1057,tend anodising machine
1058,ensure safety in the production area
1059,comply with railway safety standards
1060,carry out interviews to select artistic team members
1061,tend tumbling machine
1062,follow switching instructions in rail operations
1063,calculate materials
1064,pollution prevention
1065,translate spoken language simultaneously
1066,provide written content
1067,detect product defects
1068,manage artistic project
1069,sell flowers
1070,ICT security legislation
1071,diet cook
1072,manage personal professional development
1073,mould chocolate
1074,preserve original text
1075,memorise large amounts of information
1076,electric current
1077,ensure student welfare
1078,interview techniques
1079,apply strategic thinking
1080,preserve meaning of original speech
1081,chemical processing supervisor
1082,use color matching techniques
1083,motivate employees
1084,communicate on the youth's well-being
1085,select tree felling methods
1086,ensure vessel security
1087,study cultures
1088,deliver online training
1089,sales argumentation
1090,manage schedule of tasks
1091,keep personal administration
1092,general medicine
1093,manage resources for educational purposes
1094,apply transportation management concepts
1095,work in an aviation team
1096,organise performance space
1097,meet picking standards
1098,manage a small-to-medium business
1099,manage student relationships
1100,implement ICT network diagnostic tools
1101,cabin crew instructor
1102,coating machine parts
1103,prepare surface for enamelling
1104,operate games
1105,hair cutting techniques
1106,digital marketing techniques
1107,microbiology of fresh milk
1108,perform product testing
1109,mechanical systems
1110,assist social service users in formulating complaints
1111,design metal components
1112,health and safety measures in transportation
1113,monitor nuclear power plant systems
1114,negotiate with artists
1115,conflict management
1116,manage corporate training programmes
1117,track geometry
1118,repair leather goods
1119,prepare youths for adulthood
1120,handle delivery of furniture goods
1121,robotics
1122,enhance landscapes
1123,tend bar drawing machine
1124,provide ICT system training
1125,sort textile items
1126,analyse business requirements
1127,advise on mining environmental issues
1128,bake goods
1129,translate foreign language
1130,support social service users to live at home
1131,follow nuclear plant safety precautions
1132,marine cargo inspector
1133,cook dairy products
1134,characteristics of wheel rail interface
1135,set inclusion policies
1136,design advocacy campaigns
1137,abrasive machining processes
1138,Java
1139,footwear quality
1140,product comprehension
1141,observe student's progress
1142,tend cylindrical grinder
1143,evaluate engine performance
1144,install wood elements in structures
1145,plan facilities management policies
1146,roast malt
1147,perform video editing
1148,machinery assembly supervisor
1149,disseminate messages to people
1150,plan allocation of space
1151,follow laboratory manuals
1152,offset printing
1153,dies
1154,fit ceiling tiles
1155,assist with self-medication
1156,plan supply chain logistics for footwear and leather goods
1157,remove old caulking
1158,execute chilling processes to food products
1159,identify hazards in the workplace
1160,work within communities
1161,control production
1162,components of a ship manifest
1163,repair metal sheets
1164,maintain mould parts
1165,train cleaning procedures
1166,create solutions to problems
1167,manage operational budgets
1168,communicate with local residents
1169,develop promotional tools
1170,watches and jewellery products
1171,handle fuels
1172,business loans
1173,assess debtor's financial situation
1174,hire post-production team
1175,manage restaurant service
1176,plan footwear manufacture
1177,mechanical tools
1178,labour legislation
1179,operate metal fabricating machines
1180,direct inward dialing
1181,ensure maintenance of railway machinery
1182,children's physical development
1183,define quality standards
1184,water treatment plant manager
1185,international regulations for cargo handling
1186,replace defect components
1187,influence policy makers on social service issues
1188,operate industrial equipment
1189,cosmetics
1190,use T-brace
1191,travel bookings processes
1192,ferrous metal processing
1193,financial department processes
1194,assess nature of injury in emergency
1195,offer free samples of cosmetics
1196,prepare Pilates exercise session
1197,mix paint
1198,precious metal processing
1199,meet the requirements of legal bodies
1200,teach air cabin crew procedures
1201,keep records of customer interaction
1202,clean building floors
1203,ensure inspections of facilities
1204,estimate consumption of water
1205,follow up accounts receivables
1206,promote healthy lifestyle
1207,features of sporting equipment
1208,coordinate with creative departments
1209,monitor conveyor belt
1210,create cultural venue learning strategies
1211,industrial engineering
1212,conduct cleaning tasks
1213,materials for interior design
1214,test package
1215,procure mechanical machinery
1216,cooperate at inter-professional level
1217,use weft preparation technologies
1218,wood assembly supervisor
1219,perform clerical duties
1220,ensure mould uniformity
1221,develop course outline
1222,manage water quality testing
1223,prepare ready-made dishes
1224,measure pH
1225,strategic planning manager
1226,monitor operations in the leather industry
1227,maintain the greenhouse
1228,learn about customer service
1229,recruit employees
1230,animal biology
1231,actuarial science
1232,fire the surface
1233,use handbrake
1234,chair a meeting
1235,repair furniture parts
1236,customer service
1237,operate sandblaster
1238,monitor gauge
1239,deal with departures in accommodation
1240,machine tools
1241,create garden areas in cemeteries
1242,geographical routes
1243,develop footwear and leather goods marketing plans
1244,use textile technique for hand-made products
1245,analyse transportation costs
1246,advise on social responsibility and sustainability matters
1247,assist in the development of standard operating procedures in the food chain
1248,join metals
1249,endocrine physiology
1250,polymerisation
1251,counsel students
1252,direct distribution operations
1253,perform educational testing
1254,economics
1255,assist pool users
1256,musical genres
1257,arrange audit
1258,identify trees to fell
1259,drive ambulance under non-emergency conditions
1260,take over pedal control
1261,devise tailor-made tourism itineraries
1262,continuous improvement philosophies
1263,operate oxy-fuel cutting torch
1264,design spatial layout of outdoor areas
1265,improve business processes
1266,aircraft marshalling signals
1267,electricity and energy vocational teacher
1268,advise on teaching methods
1269,functionalities of machinery
1270,conduct fitness risk assessment
1271,ride horses
1272,graphics editor software
1273,manage project information
1274,apply colouring recipes correctly
1275,provide advice to farmers
1276,perform business analysis
1277,ramp safety requirements
1278,lead a team
1279,manage several projects
1280,consumer protection
1281,develop organisational policies
1282,interpret business information
1283,paint surfaces
1284,fishing gear
1285,address problems critically
